Study/Year/Country,Title,Study Design,"double-blind or more? (yes, no)",target diagnosis for  meta analysis,Population,baseline vitamin deficiency prop,Baseline Vitamin/Mineral Level,baseline vitamin/mineral sd,Final Vitamin/Mineral Level,Final Vitamin/Mineral SD,Summary of Study Selection Criteria,psych dx,low vitamin,pop dx,Total Sample Size (N),Intervention,Dose,Frequency,total average daily dose,Number of treatment arms (N),Number in each Treatment Arm (N),Duration (weeks),Scale Name,baseline N,Baseline outcome measure (if recorded),Standard Deviation of baseline outcome (if given),final N,Final Outcome Measures,Standard Deviation of outcome (if given),Standard Error of outcome (if given),Mean Age (Years),Sex (% Male),Key Findings,Adverse Events,Sequence generation risk of bias,allocation concealment risk of bias,blinding of participants risk of bias,blinding of outcome assessers,incomplete outcome risk of bias,selective outcome reporting risk of bias,other sources of bias,overall risk of bias,,flag,gain mean,gain sd,gain se,p,secondary flag,secondary gain mean,secondary gain sd,adverse rate,adverse count,censor direction,prob,total
Zhang/2018/China,Vitamin D3 as adjunctive therapy in the treatment of depression in tuberculosis patients: a short-term pilot randomized double-blind controlled study,Randomized Controlled Trial,yes,depression,"18-??, depressed patients with tuberculosis",,25(OH)D: 22.9  ng/mL,25(OH)D: 7.1 ng/mL,25(OH)D: 27.1 ng/mL,25(OH)D: 8.3 ng/mL,"Recurrent PTB (relapse of original episode or an exogenous 
reinfection caused by a different strain of Mycobacterium 
tuberculosis) participants (age 18 years), who were 
HIV-negative and had depression and had taken standard TB re-treatment",depression,,TB,123,vitamin D,100000 IU,weekly,14285.7142857143 IU,2,58,8,BDI-II,58,24.6,13.1,56,16.6,9.4,,38.3,86.2,"high-dose Vit D3 supplementation may not be warranted 
for reducing depressive symptoms in the PTB population. Multivari
able logistic regression models suggest that high-dose Vit D3 
supplementation may not be warranted for reducing depressive symptoms compared to the placebo in the PTB population despite a greater rise in plasma 25(OH)D level in the vit D group","1 with itching, 1 with nausea",low,low,low,low,low,low,low,low,,OLS,-1.63,8.829779159,0.91881718,5,gain scores,-8,3.7,0.035714286,2,,,
Zhang/2018/China,Vitamin D3 as adjunctive therapy in the treatment of depression in tuberculosis patients: a short-term pilot randomized double-blind controlled study,Randomized Controlled Trial,yes,depression,"18-??, depressed patients with tuberculosis",,25(OH)D: 24.5 ng/mL,25(OH)D: 4.6 ng/mL,25(OH)D: 27.2 ng/mL,25(OH)D: 8.1 ng/mL,"Recurrent PTB (relapse of original episode or an exogenous 
reinfection caused by a different strain of Mycobacterium 
tuberculosis) participants (age 18 years), who were 
HIV-negative and had depression and had taken standard TB re-treatment",depression,,TB,123,placebo,,weekly,,2,65,8,BDI-II,65,23.3,10.5,64,16.9,8.3,,40.2,81.5,"high-dose Vit D3 supplementation may not be warranted 
for reducing depressive symptoms in the PTB population. Multivari
able logistic regression models suggest that high-dose Vit D3 
supplementation may not be warranted for reducing depressive symptoms compared to the placebo in the PTB population despite a greater rise in plasma 25(OH)D level in the vit D group",none,low,low,low,low,low,low,low,low,,,0,8.829779159,0.91881718,,gain scores,-6.4,4.9,0,0,,,
Rolf/2017/Netherlands,Vitamin D(3) supplementation in multiple sclerosis: Symptoms and biomarkers of depression,Randomized Controlled Trial,yes,depression,"18-55, patients with MS with diagnosis in last 5 years",,25(OH)D: 58 nmol/L,25(OH)D: 35.10522432 nmol/L,25(OH)D: 211.667 nmol/L,25(OH)D: 72.60398666 nmol/L," Patients were eligible when they were aged between 18 and 55, diagnosed with RRMS according to the original or 2005 revised McDonald criteria confirmed by MRI, treated with interferon-β1α (Rebif®, Merck. Darmstadt, Germany), had their first clinical event in the previous 5 years, and had active disease in the previous 18 months, but not in the 30 days prior to inclusion.",none,,MS,58,vitamin D,"7000 IU/day in the first 4 weeks, followed by 14,000 IU/day up to week 48",daily,13416.6666666667 IU,2,33,48,HADS-D,20,3.667,1.59569201,20,3.333,2.39353802,,38.5,30,"Altogether, we found no evidence that vitamin D3 supplementation
reduces depressive symptoms or related biomarkers in early RRMS in
our exploratory study. ",none,low,low,low,low,low,low,some concerns,low,,gain scores,-1.25,2.672964,,,,,,0,0,,,
Rolf/2017/Netherlands,Vitamin D(3) supplementation in multiple sclerosis: Symptoms and biomarkers of depression,Randomized Controlled Trial,yes,depression,"18-55, patients with MS with diagnosis in last 5 years",,25(OH)D: 53 nmol/L,25(OH)D: 15.95692014 nmol/L,25(OH)D: 63 nmol/L,25(OH)D: 31.91384029 nmol/L," Patients were eligible when they were aged between 18 and 55, diagnosed with RRMS according to the original or 2005 revised McDonald criteria confirmed by MRI, treated with interferon-β1α (Rebif®, Merck. Darmstadt, Germany), had their first clinical event in the previous 5 years, and had active disease in the previous 18 months, but not in the 30 days prior to inclusion.",none,,MS,58,placebo,,daily,,2,25,48,HADS-D,20,3,3.98923004,20,3.167,4.38815304,,37.6,40,"Altogether, we found no evidence that vitamin D3 supplementation
reduces depressive symptoms or related biomarkers in early RRMS in
our exploratory study. ",one but not specified,low,low,low,low,low,low,some concerns,low,,gain scores,-0.9,1.68273,,,,,,0.05,1,,,
Katta/2023/New Zealand,Micronutrients absorbed via the oral mucosa reduce irritability and anger but not stress in university students during COVID-19: A randomized placebo-controlled trial,Randomized Controlled Trial,yes,depression,enrolled in undergraduate/graduate program at Canterbury,,,,,,Participants had to have DASS-21 score >/=16,depression,,,72,multivitamin,,daily,various,2,35,4,"DASS-21, depression",35,19.9,10.9,35,14.3,9.03,,22.5,25.7,"No differences in primary outcome measures of stress. Micronutrient group experienced stasticically significant greater reduction in irritability and anger, relative to pbo",significantly more headaches and drowsiness reported in micronutrient group,some concerns,some concerns,some concerns,some concerns,low,low,low,some concerns,,cohen's d,-0.17,0.24745353,,,,,,,,>=,12,
Katta/2023/New Zealand,Micronutrients absorbed via the oral mucosa reduce irritability and anger but not stress in university students during COVID-19: A randomized placebo-controlled trial,Randomized Controlled Trial,yes,depression,enrolled in undergraduate/graduate program at Canterbury,,,,,,Participants had to have DASS-21 score >/=16,depression,,,72,placebo,,daily,,2,37,4,"DASS-21, depression",37,15.5,9.49,37,10.9,8.4,,21.9,24.3,"No differences in primary outcome measures of stress. Micronutrient group experienced stasticically significant greater reduction in irritability and anger, relative to pbo",significantly more headaches and drowsiness reported in micronutrient group,some concerns,some concerns,some concerns,some concerns,low,low,low,some concerns,,,0,0.24745353,,,,,,,,>=,9,
Katta/2023/New Zealand,Micronutrients absorbed via the oral mucosa reduce irritability and anger but not stress in university students during COVID-19: A randomized placebo-controlled trial,Randomized Controlled Trial,yes,anxiety,enrolled in undergraduate/graduate program at Canterbury,,,,,,Participants had to have DASS-21 score >/=16,depression,,,72,multivitamin,,daily,various,2,35,4,"DASS-21, anxiety",35,13.3,7.28,35,9.3,9.58,,22.5,25.7,"No differences in primary outcome measures of stress. Micronutrient group experienced stasticically significant greater reduction in irritability and anger, relative to pbo",significantly more headaches and drowsiness reported in micronutrient group,some concerns,some concerns,some concerns,some concerns,low,low,low,some concerns,,cohen's d,-0.14,0.24235139,,,,,,,,,,
Katta/2023/New Zealand,Micronutrients absorbed via the oral mucosa reduce irritability and anger but not stress in university students during COVID-19: A randomized placebo-controlled trial,Randomized Controlled Trial,yes,anxiety,enrolled in undergraduate/graduate program at Canterbury,,,,,,Participants had to have DASS-21 score >/=16,depression,,,72,placebo,,daily,,2,37,4,"DASS-21, anxiety",37,12.5,8.06,37,8.69,8.29,,21.9,24.3,"No differences in primary outcome measures of stress. Micronutrient group experienced stasticically significant greater reduction in irritability and anger, relative to pbo",significantly more headaches and drowsiness reported in micronutrient group,some concerns,some concerns,some concerns,some concerns,low,low,low,some concerns,,,0,0.24235139,,,,,,,,,,
Nguyen/2009/Guatemala,Micronutrient supplementation may reduce symptoms of depression in Guatemalan women,Randomized Controlled Trial,yes,depression,reproductive age Guatamalan women,"vitamin B9: .155, vitamin b12: .175",,,,,Guatamalan women of reproductive age,none,,,459,"vitamin B9, Iron, zinc, vitamin B12","5000 ug,  120 mg,  30 mg,  16.8 ug",weekly,"714.2857142857 ug,  17.1428571429 mg,  4.2857142857 mg,  2.4 ug",4,114,12,CES-D,88,16.6,8.495384574,88,14.3,8.49538457,,31,0,"There were no associations with depression were found with serum folate, Hcy, b12, serum ferritin or serum zinc",gastric discomfort or other side effects (n=6),some concerns,some concerns,some concerns,some concerns,high,some concerns,high,high,,gain scores,-2.3,8.067515107,0.86,,,,,,,<=,6,
Nguyen/2009/Guatemala,Micronutrient supplementation may reduce symptoms of depression in Guatemalan women,Randomized Controlled Trial,yes,depression,reproductive age Guatamalan women,"vitamin B9: .287, vitamin b12: .171",,,,,Guatamalan women of reproductive age,none,,,459,"vitamin B9, Iron, vitamin B12"," 2800 ug, 120 mg, 16.8 ug",weekly,"400 ug, 17.1428571429 mg, 2.4 ug",4,115,12,CES-D,97,16.4,8.434856722,97,13.2,8.682940757,,31.4,0,"There were no associations with depression were found with serum folate, Hcy, b12, serum ferritin or serum zinc","gastric complaints, headache, nausea",some concerns,some concerns,some concerns,some concerns,high,some concerns,high,high,,gain scores,-2.4,8.174551975,0.83,,,,,,,<=,6,
Nguyen/2009/Guatemala,Micronutrient supplementation may reduce symptoms of depression in Guatemalan women,Randomized Controlled Trial,yes,depression,reproductive age Guatamalan women,"vitamin B9: .231, vitamin b12: .167",,,,,Guatamalan women of reproductive age,none,,,459,"vitamin B9, Iron, zinc, vitamin B12"," 400 ug, 60 mg, 15 mg, 2.4 ug",daily," 400 ug, 60 mg, 15 mg, 2.4 ug",4,114,12,CES-D,84,17.2,8.294422374,84,15.4,8.524823,,30.2,0,"There were no associations with depression were found with serum folate, Hcy, b12, serum ferritin or serum zinc",gastric discomfort or other side effects (n=6),some concerns,some concerns,some concerns,some concerns,high,some concerns,high,high,,gain scores,-1.8,8.065333223,0.88,,,,,,,<=,6,
Nguyen/2009/Guatemala,Micronutrient supplementation may reduce symptoms of depression in Guatemalan women,Randomized Controlled Trial,yes,depression,reproductive age Guatamalan women,"vitamin B9: .167, vitamin b12: .140",,,,,Guatamalan women of reproductive age,none,,,459,"vitamin B9, Iron, vitamin B12","200 ug, 60 mg, 2.4 ug",daily,"200 ug, 60 mg, 2.4 ug",4,116,12,CES-D,100,18,8.31562294,100,15.5,8.56761151,,31.6,0,"There were no associations with depression were found with serum folate, Hcy, b12, serum ferritin or serum zinc",gastric discomfort or other side effects (n=6),some concerns,some concerns,some concerns,some concerns,high,some concerns,high,high,,gain scores,-2.5,8.1,0.81,,,,,,,<=,6,
Zhu/2020/China,Vitamin D supplementation improves anxiety but not depression symptoms in patients with vitamin D deficiency,Randomized Controlled Trial,no,depression,"18-60, MDD and vitamin D less than 75 nmol/L",,25(OH)D: 39.1 nmol/L,25(OH)D: 10.5 nmol/L,,,"(a) diagnosis of MDD according to Diagnosis and Statistical Manual—
5th edition (DSM-V); (b) age 18–60 years; (c) Han Chinese ethnicity;
and (d) serum 25(OH) D levels ≤75 nmol/L before the entry of our
study",depression,vitamin D,,158,vitamin D,1600 IU,daily,1600 IU,2,79,26,HAM-D,62,30,7.6,62,3.51,4.173224173,0.53,46.3,29,anxiety symptoms reduced in placebo relative to treatment but depressive symptoms inconclusive,not specified,some concerns,high,high,some concerns,high,some concerns,high,high,,OLS,-1.908,5.571661298,1.330562229,11,,,,,,,,
