"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Nguyen/2009/Guatemala","Randomized Controlled Trial","yes","depression",459," 2800 ug, 120 mg, 16.8 ug",115,12,"CES-D",16.4,-2.4,0.83,31.4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"z.B12,z.B9,z.iron","high"
"Nguyen/2009/Guatemala","Randomized Controlled Trial","yes","depression",459," 400 ug, 60 mg, 15 mg, 2.4 ug",114,12,"CES-D",17.2,-1.8,0.88,30.2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"z.B12,z.B9,z.iron,z.zinc","high"
"Nguyen/2009/Guatemala","Randomized Controlled Trial","yes","depression",459,"200 ug, 60 mg, 2.4 ug",116,12,"CES-D",18,-2.5,0.81,31.6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"z.B12,z.B9,z.iron","high"
"Zhu/2020/China","Randomized Controlled Trial","no","depression",158,"1600 IU",62,26,"HAMD-17",30,3.51,0.53,46.3,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Zhu/2020/China","Randomized Controlled Trial","no","depression",158,"",44,26,"HAMD-17",29.2,4.88,1.07,43.3,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Zhu/2020/China","Randomized Controlled Trial","no","anxiety",158,"1600 IU",62,26,"HAMA-14",18,8.502,0.483,46.3,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Zhu/2020/China","Randomized Controlled Trial","no","anxiety",158,"",44,26,"HAMA-14",17.9,7.245,0.402,43.3,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Frandsen/2014/Denmark","Randomized Controlled Trial","yes","depression",43,"70 ug",22,12,"SIGH-SAD",18.7,12.3,1.55636522939596,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","some concerns"
"Frandsen/2014/Denmark","Randomized Controlled Trial","yes","depression",43,"",21,13,"SIGH-SAD",18.6,11.8,2.07306995724193,44.4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Penckofer/2022/USA","Randomized Controlled Trial","yes","depression",129,"50000 IU",65,26,"CES-D",28.7,16.2,1.2,50.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
